"dr_no","date_rptd","date_occ","time_occ","area_id","area_name","rpt_dist_no","crm_cd","crm_cd_desc","mocodes","vict_age","vict_sex","vict_descent","premis_cd","premis_desc","weapon_used_cd","weapon_desc","status","status_desc","crm_cd_1","crm_cd_2","crm_cd_3","crm_cd_4","location","cross_street","location_1","zipcode","neighborhood","tract","neighborhood_council","longitude","latitude","small_bundle_name"
"200809698","2020-05-20 00:00:00","2020-05-20 00:00:00","2000",NULL,"West LA",818,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0432 2036 2035 0903 0431 0319 0216",41,"M","B",402,"MARKET",512,"MACE/PEPPER SPRAY","IC ","Invest Cont",230,946,NULL,NULL,"10800 LE CONTE AV",NULL,"0101000020E6100000DC68006F819C5DC0705F07CE19094140",90095,"westwood","265301",63,"-118.4454","34.0711","assault with a deadly weapon"
"201213171","2020-05-20 00:00:00","2020-05-20 00:00:00","0700",NULL,"77th Street",1266,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1309 1822 0340 0416 0446 2036 0903 2055 1520",0,"M","W",101,"STREET",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC ","Invest Cont",230,946,NULL,NULL,"8000 S VERMONT AV",NULL,"0101000020E61000007B832F4CA6925DC088855AD3BCFB4040",90044,"vermont-knolls","238310",NULL,"-118.2914","33.9667","assault with a deadly weapon"
"200311536","2020-05-19 00:00:00","2020-05-19 00:00:00","1030",NULL,"Southwest",319,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0910 1402 2049 0930 2051 1536 1822 0447 0903",25,"M","B",801,"MTA BUS",500,"UNKNOWN WEAPON/OTHER WEAPON","IC ","Invest Cont",230,998,NULL,NULL,"ADAMS BL","FIGUEROA ST","0101000020E6100000E7FBA9F1D2915DC0EBE2361AC0034140",90007,"university-park","224420",773,"-118.2785","34.0293","assault with a deadly weapon"
"200111818","2020-05-17 00:00:00","2020-05-17 00:00:00","2120",NULL,"Central",145,624,"BATTERY - SIMPLE ASSAULT","0903 1536 2054 0416 1822",35,"M","W",702,"OFFICE BUILDING/OFFICE",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC ","Invest Cont",624,NULL,NULL,NULL,"100 E 5TH ST",NULL,"0101000020E6100000F241CF66D58F5DC020D26F5F07064140",90013,"downtown","207302",52,"-118.2474","34.0471","assorted assault"
"201909852","2020-05-16 00:00:00","2020-05-16 00:00:00","0739",NULL,"Mission",1971,761,"BRANDISH WEAPON","0906 1514 1310 1822 2055 0903 0334 2035 2036 0371",31,"M","B",101,"STREET",109,"SEMI-AUTOMATIC PISTOL","IC ","Invest Cont",761,NULL,NULL,NULL,"8900 ORION AV",NULL,"0101000020E610000091ED7C3F359E5DC0A1F831E6AE1D4140",91343,"north-hills","117407",112,"-118.472","34.2319","threats"
"201212839","2020-05-15 00:00:00","2020-05-15 00:00:00","1100",NULL,"77th Street",1273,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","0903 0416 1822",64,"M","H",242,"DISCOUNT STORE (99 CENT,DOLLAR,ETC.",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","AA ","Adult Arrest",230,946,NULL,NULL,"9100 HALLDALE AV",NULL,"0101000020E61000008FC2F5285C935DC052499D8026FA4040",90047,"gramercy-park","238400",84,"-118.3025","33.9543","assault with a deadly weapon"
"201709092","2020-05-14 00:00:00","2020-05-14 00:00:00","0001",NULL,"Devonshire",1747,745,"VANDALISM - MISDEAMEANOR ($399 OR UNDER)","0311 2053 1528 2004 0903 0329 0921",0,"X","X",109,"PARK/PLAYGROUND",NULL,NULL,"IC ","Invest Cont",745,NULL,NULL,NULL,"10600 PETIT AV",NULL,"0101000020E61000006B2BF697DD9F5DC05227A089B0214140",91344,"granada-hills","111400",118,"-118.4979","34.2632","vandalism"
"201212588","2020-05-11 00:00:00","2020-05-11 00:00:00","1315",NULL,"77th Street",1251,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","1402 0913 0531 0443 0319 0329 0903 2054 1536",52,"F","B",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",NULL,NULL,"IC ","Invest Cont",740,946,NULL,NULL,"3300 W 77TH ST",NULL,"0101000020E6100000228E75711B955DC05C8FC2F528FC4040",90043,"hyde-park","235202",80,"-118.3298","33.97","vandalism"
"200111577","2020-05-11 00:00:00","2020-05-11 00:00:00","1015",NULL,"Central",182,930,"CRIMINAL THREATS - NO WEAPON DISPLAYED","0903 0421 2055 1513",30,"F","O",102,"SIDEWALK",511,"VERBAL THREAT","IC ","Invest Cont",930,NULL,NULL,NULL,"S 11TH","GRAND AV","0101000020E610000054E3A59BC4905DC0BEC1172653054140",90015,"downtown","207900",52,"-118.262","34.0416","threats"
"200111596","2020-05-11 00:00:00","2020-05-11 00:00:00","2345",NULL,"Central",192,624,"BATTERY - SIMPLE ASSAULT","2054 1536 0447 1822 0416 0903 0319 1222 1402",28,"M","B",101,"STREET",500,"UNKNOWN WEAPON/OTHER WEAPON","IC ","Invest Cont",624,998,NULL,NULL,"FLOWER","PICO","0101000020E6100000BE30992A18915DC0F775E09C11054140",90015,"downtown","224010",52,"-118.2671","34.0396","assorted assault"
